datetime,pm2.5,pm10,tsp,temp,humidity,windspeed,winddir,sealevelpressure,visibility,precipitation,solarradiation,aqi,aqi_category,year,month,day,day_name,season,is_weekend,pm2.5_lag1,pm2.5_lag3,pm2.5_lag7,PM10_lag1,PM10_lag7,aqi_lag1,aqi_lag7,pm2.5_roll3,pm2.5_roll7,aqi_roll3,aqi_roll7,month_sin,month_cos
2016-09-11,21.1299,27.67284,38.32601,71.4,89.3,8.1,132.2,1013.6,3.8,31.0,46.2,70.0,Moderate,2016,9,11,Sunday,Autumn,0,22.71852,17.1288,21.443167,52.173,76.7358,73.0,71.0,21.257359822591145,18.71598938533238,70.0,67.14285714285714,-1.0,-1.8369701987210297e-16
2016-09-12,33.13915,100.2217,264.9948,68.5,93.9,6.9,141.0,1013.9,3.8,56.4,52.2,95.0,Moderate,2016,9,12,Monday,Autumn,0,21.1299,19.92366,19.073425,27.67284,80.44874,70.0,66.0,25.66252263387044,20.725378445216588,79.33333333333333,71.28571428571429,-1.0,-1.8369701987210297e-16
2016-09-13,31.592957,96.40799,263.56973,70.2,87.4,5.8,156.4,1016.5,4.1,0.3,158.4,92.0,Moderate,2016,9,13,Tuesday,Autumn,0,33.13915,22.71852,16.703682,100.2217,84.161674,95.0,65.0,28.620668411254883,22.85241767338344,85.66666666666667,75.14285714285714,-1.0,-1.8369701987210297e-16
2016-09-14,30.046762,92.594284,262.14465,73.2,82.7,11.4,145.3,1016.0,4.4,8.6,170.6,89.0,Moderate,2016,9,14,Wednesday,Autumn,0,31.592957,21.1299,14.33394,96.40799,87.87461,92.0,67.0,31.59295590718587,25.097106661115372,92.0,78.28571428571429,-1.0,-1.8369701987210297e-16
2016-09-15,28.50057,88.78058,260.7196,73.3,83.9,9.2,228.2,1015.3,4.5,0.1016,201.9,85.0,Moderate,2016,9,15,Thursday,Autumn,0,30.046762,33.13915,17.1288,92.594284,75.974075,89.0,62.0,30.046763102213543,26.72164535522461,88.66666666666667,81.57142857142857,-1.0,-1.8369701987210297e-16
2016-09-16,26.954376,84.966866,259.29453,73.2,84.0,12.8,225.8,1013.8,4.7,0.0,162.0,82.0,Moderate,2016,9,16,Friday,Autumn,0,28.50057,31.592957,19.92366,88.78058,64.07354,85.0,67.0,28.500569661458332,27.72603334699358,85.33333333333333,83.71428571428571,-1.0,-1.8369701987210297e-16
2016-09-17,25.408184,81.15316,257.86948,72.6,85.0,10.3,205.7,1013.5,4.5,1.8,137.9,79.0,Moderate,2016,9,17,Saturday,Autumn,1,26.954376,30.046762,22.71852,84.966866,52.173,82.0,73.0,26.954376856486004,28.110271181379044,82.0,84.57142857142857,-1.0,-1.8369701987210297e-16
2016-09-18,23.86199,77.33945,256.4444,71.9,84.2,8.1,239.0,1014.6,4.8,16.5,173.8,76.0,Moderate,2016,9,18,Sunday,Autumn,0,25.408184,28.50057,21.1299,81.15316,27.67284,79.0,70.0,25.408183415730793,28.50056975228446,79.0,85.42857142857143,-1.0,-1.8369701987210297e-16
2016-09-19,28.11697,68.84859,191.9433,74.3,80.7,9.2,270.8,1012.5,4.8,0.3,170.2,85.0,Moderate,2016,9,19,Monday,Autumn,0,23.86199,26.954376,33.13915,77.33945,100.2217,76.0,95.0,25.79571469624837,27.78311565944127,80.0,84.0,-1.0,-1.8369701987210297e-16
2016-09-20,18.82584,79.23426,215.0461,74.1,82.1,8.1,211.1,1013.3,4.3,0.0,147.2,65.0,Moderate,2016,9,20,Tuesday,Autumn,0,28.11697,25.408184,31.592957,68.84859,96.40799,85.0,92.0,23.601600011189777,25.95924186706543,75.33333333333333,80.14285714285714,-1.0,-1.8369701987210297e-16
2016-09-21,27.90647,73.38735,218.1931,70.9,84.5,8.1,85.1,1016.8,4.6,23.9,61.2,84.0,Moderate,2016,9,21,Wednesday,Autumn,0,18.82584,23.86199,30.046762,79.23426,92.594284,65.0,89.0,24.94975980122884,25.653485706874303,78.0,79.42857142857143,-1.0,-1.8369701987210297e-16
2016-09-22,33.85928,81.47073,194.4983,70.7,81.3,10.3,260.1,1017.4,4.8,0.0,95.6,97.0,Moderate,2016,9,22,Thursday,Autumn,0,27.90647,28.11697,28.50057,73.38735,88.78058,84.0,85.0,26.863862991333008,26.419015611921036,82.0,81.14285714285714,-1.0,-1.8369701987210297e-16
2016-09-23,30.05894,43.7561,80.65267,71.8,82.7,12.8,213.0,1013.5,4.4,0.0,157.5,89.0,Moderate,2016,9,23,Friday,Autumn,0,33.85928,18.82584,26.954376,81.47073,84.966866,97.0,82.0,30.608229955037434,26.862524850027903,90.0,82.14285714285714,-1.0,-1.8369701987210297e-16
2016-09-24,34.9552,70.48679,165.5636,68.1,92.6,5.8,136.3,1013.5,4.0,12.4,72.7,99.0,Moderate,2016,9,24,Saturday,Autumn,1,30.05894,27.90647,25.408184,43.7561,81.15316,89.0,79.0,32.95780690511068,28.22638429914202,95.0,85.0,-1.0,-1.8369701987210297e-16
2016-09-25,29.88276,81.10115,211.8583,68.4,89.8,8.1,170.3,1013.3,4.2,0.0,56.5,88.0,Moderate,2016,9,25,Sunday,Autumn,0,34.9552,33.85928,23.86199,70.48679,77.33945,99.0,76.0,31.632300059000652,29.086494173322404,92.0,86.71428571428571,-1.0,-1.8369701987210297e-16
2016-09-26,20.74891,47.89908,130.8661,70.4,83.9,8.1,189.2,1015.0,4.5,0.0,123.6,69.0,Moderate,2016,9,26,Monday,Autumn,0,29.88276,30.05894,28.11697,81.10115,68.84859,88.0,85.0,28.52895673116048,28.03391429356166,85.33333333333333,84.42857142857143,-1.0,-1.8369701987210297e-16
2016-09-27,33.5332,60.318417,144.06325,72.4,81.3,9.2,230.0,1014.9,4.6,0.0,188.7,96.0,Moderate,2016,9,27,Tuesday,Autumn,0,20.74891,34.9552,18.82584,47.89908,79.23426,69.0,65.0,28.054956436157227,30.134965624128068,84.33333333333333,88.85714285714286,-1.0,-1.8369701987210297e-16
2016-09-28,46.31749,72.73775,157.2604,70.4,86.1,6.9,180.4,1015.3,4.4,5.0038,105.1,128.0,Unhealthy for Sensitive Groups,2016,9,28,Wednesday,Autumn,0,33.5332,29.88276,27.90647,60.318417,73.38735,96.0,84.0,33.53319994608561,32.76511137826102,97.66666666666667,95.14285714285714,-1.0,-1.8369701987210297e-16
2016-09-29,47.42246,85.46181,197.9568,71.0,84.7,5.8,220.1,1014.5,3.8,0.3,128.1,130.0,Unhealthy for Sensitive Groups,2016,9,29,Thursday,Autumn,0,46.31749,20.74891,33.85928,72.73775,81.47073,128.0,97.0,42.42438252766927,34.70270838056292,118.0,99.85714285714286,-1.0,-1.8369701987210297e-16
2016-09-30,29.51485,51.65114,108.4692,72.9,83.7,12.8,183.3,1014.1,4.5,1.5,204.9,88.0,Moderate,2016,9,30,Friday,Autumn,0,47.42246,33.5332,30.05894,85.46181,43.7561,130.0,89.0,41.08493296305338,34.624981198992046,115.33333333333333,99.71428571428571,-1.0,-1.8369701987210297e-16
2016-10-01,37.57621,57.17214,105.3997,72.3,86.8,6.9,111.6,1017.0,4.3,21.6,182.3,106.0,Unhealthy for Sensitive Groups,2016,10,1,Saturday,Autumn,1,29.51485,46.31749,34.9552,51.65114,70.48679,88.0,99.0,38.171173095703125,34.999411174229216,108.0,100.71428571428571,-0.8660254037844386,0.5000000000000001
2016-10-02,23.2537,78.19403,254.4348,73.7,84.5,10.3,261.2,1018.2,3.9,0.0,190.4,74.0,Moderate,2016,10,2,Sunday,Autumn,0,37.57621,47.42246,29.88276,57.17214,81.10115,106.0,88.0,30.114920298258465,34.052402768816265,89.33333333333333,98.71428571428571,-0.8660254037844386,0.5000000000000001
2016-10-03,31.01882,82.37053,256.4547,73.8,83.5,9.2,247.1,1016.7,4.0,0.0,201.4,91.0,Moderate,2016,10,3,Monday,Autumn,0,23.2537,29.51485,20.74891,78.19403,47.89908,74.0,69.0,30.616243362426758,35.51953261239188,90.33333333333333,101.85714285714286,-0.8660254037844386,0.5000000000000001
2016-10-04,42.06206,95.02801,259.2679,72.6,83.6,9.2,248.4,1015.1,4.3,0.0,171.9,117.0,Unhealthy for Sensitive Groups,2016,10,4,Tuesday,Autumn,0,31.01882,37.57621,33.5332,82.37053,60.318417,91.0,96.0,32.11152712504069,36.737941469464985,94.0,104.85714285714286,-0.8660254037844386,0.5000000000000001
2016-10-05,35.66872,87.38766,223.6729,72.3,84.1,6.9,234.4,1014.4,3.8,1.8,171.6,101.0,Unhealthy for Sensitive Groups,2016,10,5,Wednesday,Autumn,0,42.06206,23.2537,46.31749,95.02801,72.73775,117.0,128.0,36.24986712137858,35.216688701084685,103.0,101.0,-0.8660254037844386,0.5000000000000001
2016-10-06,35.14873,69.18163,182.1927,72.4,81.0,9.2,277.4,1015.4,3.9,1.5,141.8,99.0,Moderate,2016,10,6,Thursday,Autumn,0,35.66872,31.01882,47.42246,87.38766,85.46181,101.0,130.0,37.626504262288414,33.463299070085796,105.66666666666667,96.57142857142857,-0.8660254037844386,0.5000000000000001
2016-10-07,33.42438,76.69577,208.8088,71.5,83.4,8.1,283.3,1015.7,4.3,0.0,178.2,96.0,Moderate,2016,10,7,Friday,Autumn,0,35.14873,42.06206,29.51485,69.18163,51.65114,99.0,88.0,34.7472775777181,34.021803447178435,98.66666666666667,97.71428571428571,-0.8660254037844386,0.5000000000000001
2016-10-08,24.17813,45.11865,113.1842,71.7,81.5,11.4,192.7,1015.7,4.5,0.0,154.3,76.0,Moderate,2016,10,8,Saturday,Autumn,1,33.42438,35.66872,37.57621,76.69577,57.17214,96.0,106.0,30.917080561319988,32.107791900634766,90.33333333333333,93.42857142857143,-0.8660254037844386,0.5000000000000001
2016-10-09,13.22004,26.44468,73.59686,70.5,86.0,8.1,224.0,1014.1,4.6,0.0,87.6,53.0,Moderate,2016,10,9,Sunday,Autumn,0,24.17813,35.14873,23.2537,45.11865,78.19403,76.0,74.0,23.607516924540203,30.674411909920828,75.0,90.42857142857143,-0.8660254037844386,0.5000000000000001
2016-10-10,15.2459,29.70006,83.67779,71.2,82.0,8.1,264.6,1013.3,5.2,0.3,83.2,58.0,Moderate,2016,10,10,Monday,Autumn,0,13.22004,33.42438,31.01882,26.44468,82.37053,53.0,91.0,17.548023223876953,28.42113767351423,62.333333333333336,85.71428571428571,-0.8660254037844386,0.5000000000000001
2016-10-11,19.1497,37.20291,100.3459,70.0,81.7,11.4,249.7,1012.7,5.0,0.3,166.8,66.0,Moderate,2016,10,11,Tuesday,Autumn,0,15.2459,24.17813,42.06206,29.70006,95.02801,58.0,117.0,15.871880213419596,25.147943224225724,59.0,78.42857142857143,-0.8660254037844386,0.5000000000000001
2016-10-12,29.62764,54.04653,126.3961,70.2,79.0,9.2,240.2,1012.7,5.1,0.0,210.0,88.0,Moderate,2016,10,12,Wednesday,Autumn,0,19.1497,13.22004,35.66872,37.20291,87.38766,66.0,101.0,21.3410800298055,24.28493172781808,70.66666666666667,76.57142857142857,-0.8660254037844386,0.5000000000000001
2016-10-13,44.71611,80.57236,196.0735,69.9,81.9,9.2,217.3,1014.5,4.5,0.0,159.6,124.0,Unhealthy for Sensitive Groups,2016,10,13,Thursday,Autumn,0,29.62764,15.2459,35.14873,54.04653,69.18163,88.0,99.0,31.164483388264973,25.651700156075613,92.66666666666667,80.14285714285714,-0.8660254037844386,0.5000000000000001
2016-10-14,57.50813,95.71019,179.5046,68.7,78.9,16.1,213.9,1016.7,4.0,0.5,145.1,152.0,Unhealthy,2016,10,14,Friday,Autumn,0,44.71611,19.1497,33.42438,80.57236,76.69577,124.0,96.0,43.950626373291016,29.092235565185547,121.33333333333333,88.14285714285714,-0.8660254037844386,0.5000000000000001
2016-10-15,52.15009,98.54488,210.1628,68.8,80.8,9.2,240.9,1017.6,3.3,0.0,151.1,142.0,Unhealthy for Sensitive Groups,2016,10,15,Saturday,Autumn,1,57.50813,29.62764,24.17813,95.71019,45.11865,152.0,76.0,51.458109537760414,33.08822986057827,139.33333333333334,97.57142857142857,-0.8660254037844386,0.5000000000000001
2016-10-16,46.53243,98.79306,242.3979,68.7,81.2,8.1,189.2,1017.5,3.4,0.0,135.8,128.0,Unhealthy for Sensitive Groups,2016,10,16,Sunday,Autumn,0,52.15009,44.71611,13.22004,98.54488,26.44468,142.0,53.0,52.06354904174805,37.84714249202183,140.66666666666666,108.28571428571429,-0.8660254037844386,0.5000000000000001
2016-10-17,41.73176,94.95128,235.4072,68.1,75.6,9.2,177.3,1017.6,4.1,0.0,172.5,116.0,Unhealthy for Sensitive Groups,2016,10,17,Monday,Autumn,0,46.53243,57.50813,15.2459,98.79306,29.70006,128.0,58.0,46.80475870768229,41.630836486816406,128.66666666666666,116.57142857142857,-0.8660254037844386,0.5000000000000001
2016-10-18,36.51968,87.933,224.0897,67.1,78.2,13.9,137.4,1016.0,4.2,2.5,160.1,104.0,Unhealthy for Sensitive Groups,2016,10,18,Tuesday,Autumn,0,41.73176,52.15009,19.1497,94.95128,37.20291,116.0,66.0,41.59462229410807,44.11226218087332,116.0,122.0,-0.8660254037844386,0.5000000000000001
2016-10-19,37.20813,111.5092,296.093,66.9,76.0,9.2,281.5,1016.8,4.4,25.9,179.9,105.0,Unhealthy for Sensitive Groups,2016,10,19,Wednesday,Autumn,0,36.51968,46.53243,29.62764,87.933,54.04653,104.0,88.0,38.48652267456055,45.195189339774,108.33333333333333,124.42857142857143,-0.8660254037844386,0.5000000000000001
2016-10-20,40.975,108.7358,281.2708,65.8,72.2,11.4,254.4,1014.9,4.8,0.0,195.5,114.0,Unhealthy for Sensitive Groups,2016,10,20,Thursday,Autumn,0,37.20813,41.73176,44.71611,111.5092,80.57236,105.0,124.0,38.23426946004232,44.66074480329241,107.66666666666667,123.0,-0.8660254037844386,0.5000000000000001
2016-10-21,51.31868,102.3358,245.3349,65.3,71.3,10.3,274.4,1014.8,5.0,0.0,192.6,140.0,Unhealthy for Sensitive Groups,2016,10,21,Friday,Autumn,0,40.975,36.51968,57.50813,108.7358,95.71019,114.0,152.0,43.16726938883463,43.77653775896345,119.66666666666667,121.28571428571429,-0.8660254037844386,0.5000000000000001
2016-10-22,62.03903,122.5808,293.3101,65.1,74.9,8.1,224.4,1015.1,4.2,0.4064,186.4,154.0,Unhealthy,2016,10,22,Saturday,Autumn,1,51.31868,37.20813,52.15009,102.3358,98.54488,140.0,142.0,51.444235483805336,45.18924331665039,136.0,123.0,-0.8660254037844386,0.5000000000000001
2016-10-23,61.49201,115.2517,280.2351,64.2,76.7,9.2,211.6,1015.3,3.5,0.1016,141.4,154.0,Unhealthy,2016,10,23,Sunday,Autumn,0,62.03903,40.975,46.53243,122.5808,98.79306,154.0,128.0,58.28323872884115,47.326326097760884,149.33333333333334,126.71428571428571,-0.8660254037844386,0.5000000000000001
2016-10-24,56.39514,151.5757,363.1361,65.6,79.6,9.2,201.1,1014.4,3.1,0.0,146.4,151.0,Unhealthy,2016,10,24,Monday,Autumn,0,61.49201,51.31868,41.73176,115.2517,94.95128,154.0,116.0,59.97539265950521,49.421095166887554,153.0,131.71428571428572,-0.8660254037844386,0.5000000000000001
2016-10-25,46.95458,125.4911,310.1908,66.1,69.1,10.3,202.8,1015.3,3.7,0.0,134.6,129.0,Unhealthy for Sensitive Groups,2016,10,25,Tuesday,Autumn,0,56.39514,62.03903,36.51968,151.5757,87.933,151.0,104.0,54.947242736816406,50.91179493495396,144.66666666666666,135.28571428571428,-0.8660254037844386,0.5000000000000001
2016-10-26,43.61819,105.4082,276.1324,65.2,72.3,10.3,235.3,1018.1,4.7,0.0,176.3,121.0,Unhealthy for Sensitive Groups,2016,10,26,Wednesday,Autumn,0,46.95458,61.49201,37.20813,125.4911,111.5092,129.0,105.0,48.98930358886719,51.82751791817801,133.66666666666666,137.57142857142858,-0.8660254037844386,0.5000000000000001
2016-10-27,49.42486,138.1887,384.8954,64.7,75.1,9.2,243.7,1020.7,4.8,0.0,182.3,135.0,Unhealthy for Sensitive Groups,2016,10,27,Thursday,Autumn,0,43.61819,56.39514,40.975,105.4082,108.7358,121.0,114.0,46.66587575276693,53.034640720912385,128.33333333333334,140.57142857142858,-0.8660254037844386,0.5000000000000001
2016-10-28,60.39653,141.8205,322.7864,63.0,69.6,10.3,295.4,1018.8,4.5,1.1938,204.3,154.0,Unhealthy,2016,10,28,Friday,Autumn,0,49.42486,46.95458,51.31868,138.1887,102.3358,135.0,140.0,51.14652633666992,54.331476484026226,136.66666666666666,142.57142857142858,-0.8660254037844386,0.5000000000000001
2016-10-29,57.42118,121.6118,256.0156,62.5,70.6,9.2,255.3,1019.9,4.6,13.7922,194.3,152.0,Unhealthy,2016,10,29,Saturday,Autumn,1,60.39653,43.61819,62.03903,141.8205,122.5808,154.0,154.0,55.74752298990885,53.67178399222238,147.0,142.28571428571428,-0.8660254037844386,0.5000000000000001
2016-10-30,48.80222,101.7853,218.2778,61.7,75.2,8.1,179.4,1019.2,5.1,0.0,199.0,134.0,Unhealthy for Sensitive Groups,2016,10,30,Sunday,Autumn,0,57.42118,49.42486,61.49201,121.6118,115.2517,152.0,154.0,55.53997675577799,51.85895701817104,146.66666666666666,139.42857142857142,-0.8660254037844386,0.5000000000000001
2016-10-31,39.67944,92.69694,206.0669,62.3,73.1,9.2,141.7,1023.1,4.6,0.0,187.1,111.0,Unhealthy for Sensitive Groups,2016,10,31,Monday,Autumn,0,48.80222,60.39653,56.39514,101.7853,151.5757,134.0,151.0,48.63427988688151,49.470999581473215,132.33333333333334,133.71428571428572,-0.8660254037844386,0.5000000000000001
2016-11-01,30.53889,77.47847,179.6427,63.4,70.3,10.3,178.6,1021.1,4.9,0.0,185.6,90.0,Moderate,2016,11,1,Tuesday,Autumn,0,39.67944,57.42118,46.95458,92.69694,125.4911,111.0,129.0,39.673516591389976,47.12590135846819,111.66666666666667,128.14285714285714,-0.5000000000000004,0.8660254037844384
2016-11-02,38.77639,99.64375,221.7614,64.1,69.4,9.2,251.6,1021.0,5.8,0.0,186.3,109.0,Unhealthy for Sensitive Groups,2016,11,2,Wednesday,Autumn,0,30.53889,48.80222,43.61819,77.47847,105.4082,90.0,121.0,36.331573486328125,46.4342155456543,103.33333333333333,126.42857142857143,-0.5000000000000004,0.8660254037844384
2016-11-03,42.88736,130.8163,292.441,63.5,71.2,8.1,130.2,1022.4,5.1,0.0,182.6,119.0,Unhealthy for Sensitive Groups,2016,11,3,Thursday,Autumn,0,38.77639,39.67944,49.42486,99.64375,138.1887,109.0,135.0,37.40088017781576,45.500287192208425,106.0,124.14285714285714,-0.5000000000000004,0.8660254037844384
2016-11-04,43.58333,101.2444,237.4722,60.8,68.6,9.2,191.2,1019.1,5.1,0.0,209.1,121.0,Unhealthy for Sensitive Groups,2016,11,4,Friday,Autumn,0,42.88736,30.53889,60.39653,130.8163,141.8205,119.0,154.0,41.74902598063151,43.0984012058803,116.33333333333333,119.42857142857143,-0.5000000000000004,0.8660254037844384
2016-11-05,41.67708,104.3326,248.7931,60.2,69.5,9.2,238.0,1017.0,5.1,0.0,206.8,116.0,Unhealthy for Sensitive Groups,2016,11,5,Saturday,Autumn,1,43.58333,38.77639,57.42118,101.2444,121.6118,121.0,152.0,42.715922037760414,40.849243709019255,118.66666666666667,114.28571428571429,-0.5000000000000004,0.8660254037844384
2016-11-06,51.84653,113.0264,284.9056,60.0,72.2,9.2,176.5,1015.9,4.8,0.0,208.7,141.0,Unhealthy for Sensitive Groups,2016,11,6,Sunday,Autumn,0,41.67708,42.88736,48.80222,104.3326,101.7853,116.0,134.0,45.70231246948242,41.28414535522461,126.0,115.28571428571429,-0.5000000000000004,0.8660254037844384
2016-11-07,51.37083,122.2451,291.3989,59.3,72.2,9.2,244.1,1017.2,4.3,0.0,203.3,140.0,Unhealthy for Sensitive Groups,2016,11,7,Monday,Autumn,0,51.84653,43.58333,39.67944,113.0264,92.69694,141.0,111.0,48.29814656575521,42.95434406825474,132.33333333333334,119.42857142857143,-0.5000000000000004,0.8660254037844384
2016-11-08,50.09167,113.0868,281.5104,59.4,71.4,8.1,229.8,1020.1,4.6,0.0,183.9,137.0,Unhealthy for Sensitive Groups,2016,11,8,Tuesday,Autumn,0,51.37083,41.67708,30.53889,122.2451,77.47847,140.0,90.0,51.10301081339518,45.747598375592915,139.33333333333334,126.14285714285714,-0.5000000000000004,0.8660254037844384
2016-11-09,48.44722,99.98056,226.5042,59.1,73.3,10.3,209.7,1019.7,4.7,0.0,203.0,133.0,Unhealthy for Sensitive Groups,2016,11,9,Wednesday,Autumn,0,50.09167,51.84653,38.77639,113.0868,99.64375,137.0,109.0,49.96990712483724,47.12914548601423,136.66666666666666,129.57142857142858,-0.5000000000000004,0.8660254037844384
2016-11-10,47.64792,104.1458,220.7528,60.3,74.5,9.2,283.8,1019.7,4.6,0.0,198.1,131.0,Unhealthy for Sensitive Groups,2016,11,10,Thursday,Autumn,0,48.44722,51.37083,42.88736,99.98056,130.8163,133.0,119.0,48.728936513264976,47.809225354875835,133.66666666666666,131.28571428571428,-0.5000000000000004,0.8660254037844384
2016-11-11,50.75208,102.4854,223.3688,61.1,74.8,8.1,259.3,1020.8,4.3,0.0,162.3,139.0,Unhealthy for Sensitive Groups,2016,11,11,Friday,Autumn,0,47.64792,50.09167,43.58333,104.1458,101.2444,131.0,121.0,48.94907251993815,48.83333260672433,134.33333333333334,133.85714285714286,-0.5000000000000004,0.8660254037844384
2016-11-12,49.18528,89.62618,181.784,60.5,73.3,9.2,255.0,1021.2,4.8,0.0,191.5,135.0,Unhealthy for Sensitive Groups,2016,11,12,Saturday,Autumn,1,50.75208,48.44722,41.67708,102.4854,104.3326,139.0,116.0,49.19509251912435,49.9059328351702,135.0,136.57142857142858,-0.5000000000000004,0.8660254037844384
2016-11-13,63.62361,139.2296,291.0315,59.9,77.1,10.3,276.3,1021.8,4.8,0.0,194.1,155.0,Unhealthy,2016,11,13,Sunday,Autumn,0,49.18528,47.64792,51.84653,89.62618,113.0264,135.0,141.0,54.52032343546549,51.58837291172573,143.0,138.57142857142858,-0.5000000000000004,0.8660254037844384
2016-11-14,65.97875,145.8532,307.5079,58.0,73.3,9.2,164.3,1020.8,4.3,0.0,182.5,156.0,Unhealthy,2016,11,14,Monday,Autumn,0,63.62361,50.75208,51.37083,139.2296,122.2451,155.0,140.0,59.59588114420573,53.675218854631694,148.66666666666666,140.85714285714286,-0.5000000000000004,0.8660254037844384
2016-11-15,72.95848,139.3559,260.3921,56.6,66.7,8.1,163.7,1020.4,4.4,0.0,184.0,160.0,Unhealthy,2016,11,15,Tuesday,Autumn,0,65.97875,49.18528,50.09167,145.8532,113.0868,156.0,137.0,67.52028147379558,56.9419059753418,157.0,144.14285714285714,-0.5000000000000004,0.8660254037844384
2016-11-16,65.26778,125.825,243.9175,56.2,71.9,8.1,258.0,1020.9,3.9,0.0,183.4,156.0,Unhealthy,2016,11,16,Wednesday,Autumn,0,72.95848,63.62361,48.44722,139.3559,99.98056,160.0,133.0,68.0683364868164,59.34484263828823,157.33333333333334,147.42857142857142,-0.5000000000000004,0.8660254037844384
2016-11-17,67.07639,123.0889,235.3069,56.3,73.9,9.2,200.3,1020.7,3.7,0.0,196.9,157.0,Unhealthy,2016,11,17,Thursday,Autumn,0,65.26778,65.97875,47.64792,125.825,104.1458,156.0,131.0,68.43421681722005,62.12033898489816,157.66666666666666,151.14285714285714,-0.5000000000000004,0.8660254037844384
2016-11-18,67.20694,118.4778,223.8951,55.8,75.9,8.1,218.1,1018.9,3.6,0.508,186.3,157.0,Unhealthy,2016,11,18,Friday,Autumn,0,67.07639,72.95848,50.75208,123.0889,102.4854,157.0,139.0,66.51703643798828,64.47103336879185,156.66666666666666,153.71428571428572,-0.5000000000000004,0.8660254037844384
2016-11-19,62.45278,119.8519,267.7061,56.1,78.2,8.1,247.7,1017.4,3.7,0.0,137.0,155.0,Unhealthy,2016,11,19,Saturday,Autumn,1,67.20694,65.26778,49.18528,118.4778,89.62618,157.0,135.0,65.57870483398438,66.36639077322823,156.33333333333334,156.57142857142858,-0.5000000000000004,0.8660254037844384
